network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,SEX,coef.activity,total.length,foreleg.width.male,coef.agg.male,HAM
Network_678,113F,4,0.07953192692890251,0.017863184232042126,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.8981281790000001,0.256265509,-,-,-
Network_678,121F,4,0.11131689429755616,0.013229914073956591,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.6936321809999999,-1.347734491,-,-,-
Network_678,76M,5,0.1356406606650798,0.023804250617512214,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.650232241,0.265265509,0.035159714,0.058006946,0
Network_678,129F,5,0.13584172108605141,0.0196033195906696,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.150792805,0.22126550899999997,-,-,-
Network_678,131F,4,0.09579728257421186,0.011692865868855882,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.011683608,0.266265509,-,-,-
Network_678,77M,5,0.1239533583437148,0.02272739507490655,4,50,133,0.10857142857142857,0.3294556293126037,MALE,-1.8305081369999998,0.5562655089999999,0.067159714,-0.354014923,1
Network_678,115F,6,0.12446162312265752,0.03431596054866822,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.459296181,1.0422655090000001,-,-,-
Network_678,123F,5,0.09328584084098171,0.024577329023177417,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.092419305,0.161265509,-,-,-
Network_678,78M,7,0.1716298267581736,0.055508872958775664,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.709314654,0.33226550899999996,-0.011840286,-0.044832348,0
Network_678,117F,6,0.12326376101724551,0.040442075289400095,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.171943008,0.23726550899999999,-,-,-
Network_678,79M,6,0.14634522132322833,0.0259696189466897,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.376275614,0.47226550899999997,0.119159714,0.168875127,0
Network_678,118F,3,0.0870002339616189,0.005501590242499951,3,50,133,0.10857142857142857,0.3294556293126037,FEMALE,0.06525822099999999,0.438265509,-,-,-
Network_678,80M,4,0.11111078598490845,0.017207512632857507,3,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.752232693,-0.47273449100000003,0.089159714,-0.058339315,0
Network_678,81M,4,0.08784080537241655,0.011783387109357685,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.686350281,0.037265509,0.116159714,0.170966134,0
Network_678,82M,1,0.020243792624809343,0.0,1,50,133,0.10857142857142857,0.3294556293126037,MALE,0.871113177,0.808265509,0.206159714,0.023854043,0
Network_678,84M,2,0.03927983672879174,0.0022062020271648953,2,50,133,0.10857142857142857,0.3294556293126037,MALE,0.993501497,-0.854734491,0.036159714,0.036043339,0
Network_678,127F,7,0.1649719287275283,0.0654722859977382,4,50,133,0.10857142857142857,0.3294556293126037,FEMALE,-0.543259126,-0.329734491,-,-,-
Network_678,85M,6,0.13085651500675877,0.03344156371284112,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.45567060600000003,0.442265509,0.144159714,-0.084790093,0
Network_678,86M,8,0.22386514309094946,0.07459824058676844,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.759285208,-0.333734491,0.105159714,0.02341617,0
Network_678,87M,3,0.05332901411449077,0.011611537360073858,3,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.861705925,0.5562655089999999,0.186159714,-0.273294328,0
Network_678,88M,6,0.1580912005061295,0.04255972520075273,4,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.216797579,0.364265509,-0.062840286,-0.014716659,0
Network_678,89M,4,0.07077600722816972,0.015701125080894503,3,50,133,0.10857142857142857,0.3294556293126037,MALE,0.573397324,0.355265509,0.068159714,0.207547171,0
Network_678,90M,7,0.16887850184063155,0.04719504760735718,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.047466337000000004,0.19326550899999997,0.120159714,0.100891715,0
Network_678,91M,5,0.12449416267535746,0.019496058652619913,4,50,133,0.10857142857142857,0.3294556293126037,MALE,1.076545254,-0.334734491,0.066159714,0.247486646,0
Network_678,93M,3,0.08719115988844174,0.00875687519381402,3,50,133,0.10857142857142857,0.3294556293126037,MALE,-0.920760134,0.249265509,0.081159714,-0.195688479,0
Network_678,94M,9,0.24460155929985347,0.0941156343394236,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.799939052,-0.40473449100000003,-0.009840286,-0.032779564,1
Network_678,95M,7,0.18929446832128707,0.04512439462018566,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.8121978240000001,-0.464734491,0.076159714,0.092958986,0
Network_678,96M,7,0.19894457443928742,0.06004878105390869,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.7426163170000001,0.239265509,0.101159714,-0.010820103,0
Network_678,97M,4,0.06925467391456093,0.013920771845204924,4,50,133,0.10857142857142857,0.3294556293126037,MALE,0.9525288940000001,0.220265509,0.097159714,0.095480447,0
Network_678,98M,3,0.05108747875270296,0.008921869415987573,3,50,133,0.10857142857142857,0.3294556293126037,MALE,0.346378196,-0.154734491,0.109159714,-0.021875413,0
