network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,sex,weight,svl
Network_1019,BGS-3790,4,9.144698543349571e-08,0.0,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,30.0,33.6
Network_1019,BGS-3791,8,9.215970789547594e-12,0.0009368321244768114,5,3228,17816,0.0034206426645685085,0.8464375422782009,F,20.85,29.65
Network_1019,BGS-3792,12,2.2157443774365381e-10,8.780811659780754e-05,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,20.35,28.35
Network_1019,BGS-3793,3,2.653478287413627e-13,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,20.5,29.5
Network_1019,BGS-3794,2,8.03413763523913e-13,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,55.5,38.4
Network_1019,BGS-3795,15,2.2561464053782032e-10,0.0003188307755076575,11,3228,17816,0.0034206426645685085,0.8464375422782009,F,67.5,42.85
Network_1019,BGS-3796,2,1.4322644500611575e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,30.0,32.5
Network_1019,BGS-3798,2,1.431705695432305e-15,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.0,29.0
Network_1019,BGS-3799,1,1.5101962605921412e-13,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,36.5,35.1
Network_1019,BGS-38,5,5.14273069716665e-08,0.0,5,3228,17816,0.0034206426645685085,0.8464375422782009,,,
Network_1019,BGS-380,9,2.3972739223040418e-14,0.0,9,3228,17816,0.0034206426645685085,0.8464375422782009,F,64.5,41.5
Network_1019,BGS-3801,1,2.526470883401802e-18,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,F,53.0,38.2
Network_1019,BGS-3802,2,6.373013359833546e-11,6.403912841977751e-08,2,3228,17816,0.0034206426645685085,0.8464375422782009,M,33.5,39.0
Network_1019,BGS-3803,4,9.144698543377735e-08,0.0,4,3228,17816,0.0034206426645685085,0.8464375422782009,M,34.7,34.8
Network_1019,BGS-3804,9,6.520911797019134e-16,3.362054242038319e-07,8,3228,17816,0.0034206426645685085,0.8464375422782009,F,69.5,42.8
Network_1019,BGS-3805,9,6.524987055133162e-16,3.362054242038319e-07,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,33.0,39.0
Network_1019,BGS-3806,8,6.372699222761239e-16,0.0,8,3228,17816,0.0034206426645685085,0.8464375422782009,M,27.5,33.7
Network_1019,BGS-3807,10,4.157193380076906e-11,3.051276118824693e-08,10,3228,17816,0.0034206426645685085,0.8464375422782009,F,83.5,46.1
Network_1019,BGS-3808,2,9.728764755379442e-13,0.0,2,3228,17816,0.0034206426645685085,0.8464375422782009,F,71.5,39.8
Network_1019,BGS-3809,4,5.195775759942733e-14,0.0,4,3228,17816,0.0034206426645685085,0.8464375422782009,F,70.5,39.9
Network_1019,BGS-3810,3,5.568043138618133e-13,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,57.5,39.1
Network_1019,BGS-3811,3,5.568039205603596e-13,0.0,3,3228,17816,0.0034206426645685085,0.8464375422782009,F,69.5,41.1
Network_1019,BGS-3812,1,9.474762215326737e-13,0.0,1,3228,17816,0.0034206426645685085,0.8464375422782009,M,20.7,31.9
