network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2551-79143,3,0.001692458264929115,0.00013044852140816073,3,117,1027,0.15134099616858238,0.5891424805616717,N,3,0.046675958,0.000155975,0.666666667,3.0,0.333333333,1,0.333333333,-0.325405805,M,0.219444445,0.196866925
Network_438,2581-25034,0,3.8781607301277675e-20,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,4,0.03125,0.0,0.5,2.25,0.0,1,0.0,-0.083304345,M,1.575,0.0
Network_438,2551-79145,17,0.015684299390961498,0.0015952182123623894,14,117,1027,0.15134099616858238,0.5891424805616717,N,19,0.062245315,0.000841854,0.052631579000000005,10.26315789,1.473684211,1,0.578947368,-0.111553788,M,4.896052632,0.335850671
Network_438,2551-79144,0,1.3548605656029178e-19,0.0,0,117,1027,0.15134099616858238,0.5891424805616717,N,3,0.031307645,0.0,0.333333333,4.333333333,0.0,1,0.0,-0.083304345,M,0.438888889,0.0
Network_438,2551-79147,10,0.054254703289094534,0.0,10,117,1027,0.15134099616858238,0.5891424805616717,N,13,0.07368394,0.001643603,0.076923077,3.8461538460000004,0.0,2,0.0,-0.083304345,M,0.17435897399999997,0.06605461900000001
Network_438,2551-79149,2,0.013764569661011665,0.0,2,117,1027,0.15134099616858238,0.5891424805616717,N,2,0.078703704,0.000524433,0.5,7.0,0.0,1,0.0,-0.083304345,M,0.708333333,0.006071282
Network_438,2581-25048,11,0.044673309047647373,0.00042891783185059444,10,117,1027,0.15134099616858238,0.5891424805616717,Y,17,0.171912343,0.0024847289999999998,0.058823529000000006,20.76470588,1.529411765,1,0.41176470600000004,-0.018905376,M,25.19460785,0.18604121699999998
Network_438,2581-25051,56,0.22704347228700014,0.09921881994049903,17,117,1027,0.15134099616858238,0.5891424805616717,N,130,0.07570129099999999,0.09767006800000001,0.030769231,29.18461538,3.2230769230000003,2,0.307692308,-0.050913049,F,6.448653847,0.801073382
Network_438,2581-25055,40,0.18778225307479712,0.01708294423152039,17,117,1027,0.15134099616858238,0.5891424805616717,N,129,0.081403117,0.25683381899999996,0.023255814,33.76744186,3.7519379839999996,1,0.209302326,-0.002111226,M,9.194315245,0.9086613859999999
Network_438,2581-25057,25,0.10236098094197299,0.008609940237306928,15,117,1027,0.15134099616858238,0.5891424805616717,N,39,0.0572831,0.017345017,0.102564103,10.94871795,1.641025641,1,0.384615385,0.031138232999999998,U,4.313675213,0.24466601300000002
Network_438,2581-25056,2,0.009335686094559576,0.0,2,117,1027,0.15134099616858238,0.5891424805616717,N,4,0.056005398,0.00010654299999999999,0.25,11.75,0.25,1,0.25,0.166695655,F,9.835416667,0.002278497
