network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,fur_mark,sex,stage_current_year,Node_All days_detected,btw_spat,btw_soc
Network_745,R368,9,0.05731748459836284,0.0,9,59,695,0.40619520748100524,0.19474833813597162,broccoli,F,A,1,0,47
Network_745,R466,11,0.06423798429823212,0.0002742182869224612,11,59,695,0.40619520748100524,0.19474833813597162,dilemma,M,P,1,1,8
Network_745,R064_L068,23,0.12167523477596653,0.003048765247080909,18,59,695,0.40619520748100524,0.19474833813597162,easter_egg,F,A,7,10,11
Network_745,R291,20,0.10054238031431328,0.003256969171789585,16,59,695,0.40619520748100524,0.19474833813597162,hand,F,A,11,11,92
Network_745,R454,3,0.01772067627375214,0.0,3,59,695,0.40619520748100524,0.19474833813597162,JS,M,P,1,0,63
Network_745,R489,12,0.0688475576857872,0.00046939628004358795,12,59,695,0.40619520748100524,0.19474833813597162,registered_trademark,F,P,4,2,0
Network_745,R457,11,0.06502824156146687,0.0002836389708743006,11,59,695,0.40619520748100524,0.19474833813597162,target,M,P,5,1,73
Network_745,R213_L226,21,0.11558946144688688,0.001368976902133617,18,59,695,0.40619520748100524,0.19474833813597162,pine,F,A,5,5,27
Network_745,R472,15,0.08640521852243213,0.00036499088252236447,14,59,695,0.40619520748100524,0.19474833813597162,pp,M,P,2,1,105
Network_745,R465,10,0.058070899018973186,0.0,10,59,695,0.40619520748100524,0.19474833813597162,bucket,M,P,2,0,21
Network_745,R431,21,0.10116423810904279,0.003930823228624019,16,59,695,0.40619520748100524,0.19474833813597162,santa_hat,M,P,10,13,40
Network_745,R459_R553,11,0.06313136309310426,0.00016248623326663253,10,59,695,0.40619520748100524,0.19474833813597162,three_open_circles,M,P,4,1,70
Network_745,R176_L222,22,0.1160843815498118,0.03567750152105644,18,59,695,0.40619520748100524,0.19474833813597162,soda,F,A,6,118,64
Network_745,R256,1,0.0038523632175637094,0.0,1,59,695,0.40619520748100524,0.19474833813597162,bunny,F,A,1,0,81
Network_745,R484,7,0.047840666224696654,0.0,7,59,695,0.40619520748100524,0.19474833813597162,cookie,F,P,2,0,51
Network_745,R446,7,0.04246033926371001,2.880765131218852e-05,7,59,695,0.40619520748100524,0.19474833813597162,Cu_copper,M,P,2,0,133
Network_745,R519,7,0.042484393604936097,0.0,7,59,695,0.40619520748100524,0.19474833813597162,division_sign,F,P,1,0,7
Network_745,R437,11,0.06398161797041685,0.00044567131147679875,10,59,695,0.40619520748100524,0.19474833813597162,LA,F,P,4,1,1
Network_745,R477,14,0.08012362096151242,0.002983972230463536,12,59,695,0.40619520748100524,0.19474833813597162,leo,F,P,3,10,133
Network_745,R464,16,0.09618352229736624,0.0003273731041426141,15,59,695,0.40619520748100524,0.19474833813597162,Li_lithium,F,P,6,1,18
Network_745,R450,11,0.06856843739574933,2.880765131218852e-05,11,59,695,0.40619520748100524,0.19474833813597162,panda,F,P,5,0,35
Network_745,R321_R576,15,0.08681823116140365,0.00011326644720474121,15,59,695,0.40619520748100524,0.19474833813597162,percent_sign,F,A,2,0,14
Network_745,R449,9,0.0554277750189614,4.6535436735073766e-05,9,59,695,0.40619520748100524,0.19474833813597162,post,F,P,3,0,87
Network_745,R483,13,0.07993017786784118,0.0001083887880621093,13,59,695,0.40619520748100524,0.19474833813597162,square_w_line_in_it,F,P,2,0,0
Network_745,R520_L575,14,0.07031571808568768,0.00133832524939603,12,59,695,0.40619520748100524,0.19474833813597162,u_turn,F,P,5,4,0
Network_745,R247_R539_L433,5,0.02371543780551377,0.0,5,59,695,0.40619520748100524,0.19474833813597162,Mills,M,A,1,0,26
