network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant0,96,0.0811705574132945,0.0022822072429055287,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,0.0,142.678,5.0,128.0,F,F,F,F,17.0,45.9091,0.0,14.0,37.272727,394.27272999999997,0.09091
Network_98,Ant2,124,0.10623174526134255,0.004282079428042587,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,2.0,130.311,40.0,0.0,C,C, , ,121.90899999999999,2.45455,25.0,312.90909,291.18182,142.36364,12.09
Network_98,Ant76,85,0.07036796157665044,0.0023605305875915206,67,141,6731,0.6819655521783181,0.27677337351008513,21.0,76.0,139.27,50.0,183.0,F,F,F, ,2.81818,51.3636,1.36364,22.272727,64.545455,503.36364000000003,0.3636
Network_98,Ant137,70,0.06114625509702932,0.0005097576349716638,64,141,6731,0.6819655521783181,0.27677337351008513,21.0,137.0,207.03900000000002,50.0,0.0,N,N,N,N,344.63599999999997,1.81818,2.54545,560.27273,121.09091000000001,66.818182,31.0
Network_98,Ant74,85,0.07421261096336995,0.0012625236302634545,69,141,6731,0.6819655521783181,0.27677337351008513,21.0,74.0,184.678,5.0,0.0,N,N,N,N,395.091,0.0,0.454545,585.36364,149.63636,60.0,9.908999999999999
Network_98,Ant72,91,0.0798891714289927,0.0011933302802993554,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,72.0,144.506,40.0,0.0,N,N,N,N,289.545,0.0,37.0909,344.81818,148.45455,54.0,20.09
Network_98,Ant71,92,0.08073912128312542,0.0014967744249271854,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,71.0,166.859,57.0,0.0,N,N,N,N,423.727,1.27273,1.27273,333.72727000000003,175.09091,69.363636,11.18
Network_98,Ant70,110,0.09493324326807538,0.002831147424895194,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,70.0,161.186,64.0,0.0,C,F,F,F,109.455,1.54545,3.27273,182.27273,290.09091,376.90909,1.273
Network_98,Ant610,81,0.07068875493678352,0.0009012254894012701,69,141,6731,0.6819655521783181,0.27677337351008513,21.0,610.0,151.327,40.0,0.0,N,N,N,N,406.36400000000003,2.72727,1.45455,596.36364,87.636364,30.545455,24.82
Network_98,Ant592,111,0.09706043558018389,0.0026941735544832456,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,592.0,146.373,14.0,0.0,C,C, , ,455.63599999999997,1.36364,0.727273,223.45455,191.36364,133.27273,0.4545
