network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,age.class,group
Network_260,341,1,1.2448741044811512e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,29
Network_260,TAL,1,1.1913872737735239e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,28
Network_260,326,1,9.98573971444738e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,18
Network_260,TAN,2,6.620484061342651e-17,0.0003912363067292645,1,73,60,0.0228310502283105,0.8502777777777778,2,28
Network_260,813,2,5.099815076905005e-16,0.005086071987480439,1,73,60,0.0228310502283105,0.8502777777777778,6,17
Network_260,425,1,2.831462974839326e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,24
Network_260,KAM,1,0.03354691274179015,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,13
Network_260,4,1,1.583295417618175e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,1
Network_260,471,1,1.798650613653076e-15,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,18
Network_260,142,1,1.4303918028898832e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,20
Network_260,RAG,3,0.30478039818971564,0.007042253521126761,2,73,60,0.0228310502283105,0.8502777777777778,1,20
Network_260,174,4,0.35017682980624415,0.0297339593114241,2,73,60,0.0228310502283105,0.8502777777777778,4,17
Network_260,208,1,-8.41666850014348e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,15
Network_260,440,1,0.050556084894080484,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,6
Network_260,CHN,1,5.754193352757922e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,17
Network_260,JAN,2,-1.7829838341907953e-16,0.0,2,73,60,0.0228310502283105,0.8502777777777778,3,15
Network_260,BIT,1,1.2644989713277833e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,12
Network_260,187,2,-1.668662894623779e-16,0.0,2,73,60,0.0228310502283105,0.8502777777777778,4,19
Network_260,229,1,6.622217620591172e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,18
Network_260,TAM,1,3.122447843431254e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,28
Network_260,90,3,6.520592350308197e-17,0.0019561815336463224,1,73,60,0.0228310502283105,0.8502777777777778,4,26
Network_260,283,1,1.711824061387635e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,26
Network_260,79,2,0.23236276262923594,0.003129890453834115,2,73,60,0.0228310502283105,0.8502777777777778,4,13
Network_260,FAT,1,4.244684038608693e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,20
Network_260,242,1,-5.412540545406884e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,4,24
Network_260,ARS,1,2.430924880438068e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,17
Network_260,BIA,1,2.304543050311834e-17,0.0,1,73,60,0.0228310502283105,0.8502777777777778,1,12
Network_260,VIJ,1,-4.463454845993645e-18,0.0,1,73,60,0.0228310502283105,0.8502777777777778,2,25
Network_260,TUS,1,-1.3897106094693862e-16,0.0,1,73,60,0.0228310502283105,0.8502777777777778,6,28
Network_260,KAN,3,0.26167742863936805,0.010172143974960872,2,73,60,0.0228310502283105,0.8502777777777778,2,13
Network_260,53,1,0.15343191561629893,0.0,1,73,60,0.0228310502283105,0.8502777777777778,3,7
Network_260,866,4,0.4077892626427129,0.03658059467918623,2,73,60,0.0228310502283105,0.8502777777777778,6,14
Network_260,KAR,3,0.26590967537102606,0.016431924882629113,2,73,60,0.0228310502283105,0.8502777777777778,5,13
Network_260,228,2,3.917939730586498e-17,0.0003912363067292645,1,73,60,0.0228310502283105,0.8502777777777778,4,24
