t,S,I,R
2.147046882935736,0,34,79
2.232511883863881,0,33,80
2.4079286396524098,0,32,81
2.4173722925134236,0,31,82
2.537885277907643,0,30,83
2.5589481190222942,0,29,84
2.626724106510287,0,28,85
2.6459886589628296,0,27,86
2.6483871273760013,0,26,87
2.7018349678889604,0,25,88
2.759215283719521,0,24,89
3.0086178180991876,0,23,90
3.055283924341778,0,22,91
3.1522284035939823,0,21,92
3.3036641906671322,0,20,93
3.381547846650517,0,19,94
3.4191821954265293,0,18,95
3.6850424712210152,0,17,96
3.710338507081103,0,16,97
3.9100058755344786,0,15,98
3.96307169710868,0,14,99
4.408496704772445,0,13,100
4.779466211365116,0,12,101
5.249888646669927,0,11,102
5.2870470498172155,0,10,103
5.292715705165397,0,9,104
5.994823645240358,0,8,105
6.126168226923578,0,7,106
7.3118143866799405,0,6,107
7.610906494666448,0,5,108
7.862593924273264,0,4,109
8.221308183156024,0,3,110
8.500261523535132,0,2,111
8.650873276001953,0,1,112
9.420182442000582,0,0,113
